,Страна,Регион,Численность,Площадь (sq. mi.),Плотность населения (per sq. mi.),Длина побережья к общей площади,Миграция,Детская смертность,ВВП на душу населения,Грамотность(%),Телефонов (на 1000),пахотные земли (%), земель под посевы(%),других земель (%),Рождаемость,Смертность,С/Х в ВВП,Промышленность в ВВП,Услуг в ВВП,Численность в млн,Площадь(кв.км),Плотность населения(на кв.км)
0,Afghanistan,Азия,31056997,647500,48.0,0.0,23.06,163.07,700.0,36.0,3.2,12.13,0.22,87.65,46.6,20.34,0.38,0.24,0.38,0.031056997,1677025.0,124.32
1,Albania,ВОСТОЧНАЯ ЕВРОПА,3581655,28748,124.6,1.26,-4.93,21.52,4500.0,86.5,71.2,21.09,4.42,74.49,15.11,5.22,0.23,0.19,0.58,0.003581655,74457.31999999999,322.71399999999994
2,Algeria,СЕВЕРНАЯ АФРИКА,32930091,2381740,13.8,0.04,-0.39,31.0,6000.0,70.0,78.1,3.22,0.25,96.53,17.14,4.61,0.1,0.6,0.3,0.032930091,6168706.6,35.742
3,American Samoa,ОКЕАНИЯ,57794,199,290.4,58.29,-20.71,9.27,8000.0,97.0,259.5,10.0,15.0,75.0,22.46,3.27,,,,5.7794e-05,515.41,752.1359999999999
4,Andorra,Западная Европа,71201,468,152.1,0.0,6.6,4.05,19000.0,100.0,497.2,2.22,0.0,97.78,8.71,6.25,,,,7.1201e-05,1212.12,393.93899999999996
5,Angola,Южная Африка,12127071,1246700,9.7,0.13,0.0,191.19,1900.0,42.0,7.8,2.41,0.24,97.35,45.11,24.2,0.1,0.66,0.25,0.012127071,3228953.0,25.122999999999998
6,Anguilla,Латинская Америка,13477,102,132.1,59.8,10.76,21.03,8600.0,95.0,460.0,0.0,0.0,100.0,14.17,5.34,0.04,0.18,0.78,1.3477e-05,264.18,342.13899999999995
7,Antigua & Barbuda,Латинская Америка,69108,443,156.0,34.54,-6.15,19.46,11000.0,89.0,549.9,18.18,4.55,77.27,16.93,5.37,0.04,0.22,0.74,6.9108e-05,1147.37,404.03999999999996
8,Argentina,Латинская Америка,39921833,2766890,14.4,0.18,0.61,15.18,11200.0,97.1,220.4,12.31,0.48,87.21,16.73,7.55,0.1,0.36,0.55,0.039921833,7166245.1,37.296
9,Armenia,ex-USSR,2976372,29800,99.9,0.0,-6.47,23.28,3500.0,98.6,195.7,17.55,2.3,80.15,12.07,8.23,0.24,0.34,0.42,0.002976372,77182.0,258.741
